"Date","SearchEngine","KeywordGroup","Website","Position"
"2014-07-02","Yahoo","dashboard","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","9"
"2014-07-02","Yahoo","dashboard","tableau","11"
"2014-07-02","Yahoo","dashboard","tableau","40"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","14"
"2014-07-02","Yahoo","interactive","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","22"
"2014-07-02","Yahoo","dashboard","tableau","8"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","word cloud","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","1"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","word cloud","tableau","42"
"2014-07-02","Yahoo","dashboard","tableau","26"
"2014-07-02","Yahoo","dashboard","tableau","17"
"2014-07-02","Yahoo","dashboard","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","46"
"2014-07-02","Yahoo","dashboard","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","sankey","tableau","2"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","sankey","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","14"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","sankey","tableau","1"
"2014-07-02","Yahoo","interactive","tableau","5"
"2014-07-02","Yahoo","sankey","tableau","2"
"2014-07-02","Yahoo","sankey","tableau","3"
"2014-07-02","Yahoo","sankey","tableau","3"
"2014-07-02","Yahoo","sankey","tableau","1"
"2014-07-02","Yahoo","sankey","tableau","3"
"2014-07-02","Yahoo","sankey","tableau","1"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","14"
"2014-07-02","Yahoo","dashboard","tableau","13"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","sankey","tableau","1"
"2014-07-02","Yahoo","dashboard","tableau","2"
"2014-07-02","Yahoo","sankey","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","sankey","tableau","2"
"2014-07-02","Yahoo","sankey","tableau","7"
"2014-07-02","Yahoo","sankey","tableau","4"
"2014-07-02","Yahoo","sankey","tableau","1"
"2014-07-02","Yahoo","sankey","tableau","14"
"2014-07-02","Yahoo","sankey","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","sankey","tableau","3"
"2014-07-02","Yahoo","sankey","tableau","2"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","2"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","13"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","8"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","word cloud","tableau","7"
"2014-07-02","Yahoo","word cloud","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","22"
"2014-07-02","Yahoo","word cloud","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","word cloud","tableau","13"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","17"
"2014-07-02","Yahoo","word cloud","tableau","9"
"2014-07-02","Yahoo","word cloud","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","34"
